# step celloverlap nonbonded total
2050 0.000000 -1.241825 -1.241825
2100 0.000000 -0.000000 0.000000
2150 0.000000 -7.002412 -7.002412
2200 0.000000 -2.274209 -2.274209
2250 0.000000 -3.972479 -3.972479
2300 0.000000 -3.112824 -3.112824
2350 0.000000 0.000000 0.000000
2400 0.000000 -1.968499 -1.968499
2450 0.000000 0.000000 0.000000
2500 0.000000 -9.828117 -9.828117
2550 0.000000 -6.439591 -6.439591
2600 0.000000 -6.917387 -6.917387
2650 0.000000 -6.980815 -6.980815
2700 0.000000 -0.000000 0.000000
2750 0.000000 -8.276603 -8.276603
2800 0.000000 -3.801002 -3.801002
2850 0.000000 -13.507682 -13.507682
2900 0.000000 -8.542801 -8.542801
2950 0.000000 -3.477028 -3.477028
3000 0.000000 -4.549601 -4.549601
